dataset,condition,predicted_category,count,percent
aegis,label_only,FM-1.1,38,39.175257731958766
aegis,label_only,FM-1.3,3,3.0927835051546393
aegis,label_only,FM-2.1,26,26.804123711340207
aegis,label_only,FM-2.3,6,6.185567010309279
aegis,label_only,FM-2.6,17,17.52577319587629
aegis,label_only,FM-3.1,5,5.154639175257732
aegis,label_only,FM-3.3,2,2.0618556701030926
aegis,own_taxonomy,FM-1.1,36,37.11340206185567
aegis,own_taxonomy,FM-1.2,2,2.0618556701030926
aegis,own_taxonomy,FM-1.3,21,21.649484536082475
aegis,own_taxonomy,FM-2.1,10,10.309278350515465
aegis,own_taxonomy,FM-2.3,8,8.24742268041237
aegis,own_taxonomy,FM-2.5,1,1.0309278350515463
aegis,own_taxonomy,FM-2.6,11,11.34020618556701
aegis,own_taxonomy,FM-3.1,4,4.123711340206185
aegis,own_taxonomy,FM-3.3,4,4.123711340206185
aegis,foreign_taxonomy,FM-1.1,23,23.711340206185568
aegis,foreign_taxonomy,FM-1.2,2,2.0618556701030926
aegis,foreign_taxonomy,FM-1.3,1,1.0309278350515463
aegis,foreign_taxonomy,FM-2.1,29,29.896907216494846
aegis,foreign_taxonomy,FM-2.3,12,12.371134020618557
aegis,foreign_taxonomy,FM-2.6,18,18.556701030927837
aegis,foreign_taxonomy,FM-3.1,10,10.309278350515465
aegis,foreign_taxonomy,FM-3.3,2,2.0618556701030926
aegis,merged_taxonomy,FM-1.1,30,30.927835051546392
aegis,merged_taxonomy,FM-1.3,1,1.0309278350515463
aegis,merged_taxonomy,FM-1.5,1,1.0309278350515463
aegis,merged_taxonomy,FM-2.1,28,28.8659793814433
aegis,merged_taxonomy,FM-2.3,13,13.402061855670103
aegis,merged_taxonomy,FM-2.6,16,16.49484536082474
aegis,merged_taxonomy,FM-3.1,6,6.185567010309279
aegis,merged_taxonomy,FM-3.3,2,2.0618556701030926
whowhen,label_only,A.1,9,1.8
whowhen,label_only,A.2,18,3.6
whowhen,label_only,A.3,5,1.0
whowhen,label_only,A.4,11,2.2
whowhen,label_only,C.2,1,0.2
whowhen,label_only,PL.1,2,0.4
whowhen,label_only,R.1,38,7.6
whowhen,label_only,R.2,297,59.4
whowhen,label_only,R.3,20,4.0
whowhen,label_only,R.4,75,15.0
whowhen,label_only,V.1,1,0.2
whowhen,label_only,V.2,23,4.6
whowhen,own_taxonomy,A.1,9,1.8
whowhen,own_taxonomy,A.2,25,5.0
whowhen,own_taxonomy,A.3,14,2.8
whowhen,own_taxonomy,A.4,14,2.8
whowhen,own_taxonomy,C.3,1,0.2
whowhen,own_taxonomy,R.1,31,6.2
whowhen,own_taxonomy,R.2,220,44.0
whowhen,own_taxonomy,R.3,15,3.0
whowhen,own_taxonomy,R.4,125,25.0
whowhen,own_taxonomy,V.1,1,0.2
whowhen,own_taxonomy,V.2,45,9.0
whowhen,foreign_taxonomy,A.1,11,2.2
whowhen,foreign_taxonomy,A.2,13,2.6
whowhen,foreign_taxonomy,A.3,11,2.2
whowhen,foreign_taxonomy,A.4,17,3.4
whowhen,foreign_taxonomy,R.1,37,7.4
whowhen,foreign_taxonomy,R.2,251,50.2
whowhen,foreign_taxonomy,R.3,17,3.4
whowhen,foreign_taxonomy,R.4,107,21.4
whowhen,foreign_taxonomy,V.1,1,0.2
whowhen,foreign_taxonomy,V.2,35,7.0
whowhen,merged_taxonomy,A.1,7,1.4
whowhen,merged_taxonomy,A.2,19,3.8
whowhen,merged_taxonomy,A.3,10,2.0
whowhen,merged_taxonomy,A.4,17,3.4
whowhen,merged_taxonomy,R.1,34,6.8
whowhen,merged_taxonomy,R.2,297,59.4
whowhen,merged_taxonomy,R.3,18,3.6
whowhen,merged_taxonomy,R.4,59,11.8
whowhen,merged_taxonomy,V.1,1,0.2
whowhen,merged_taxonomy,V.2,38,7.6
