dataset,framework,n,label_only_accuracy,own_taxonomy_accuracy,foreign_taxonomy_accuracy,merged_taxonomy_accuracy
aegis,agentverse,1,0.0,1.0,0.0,1.0
aegis,dylan,26,0.19230769230769232,0.2692307692307692,0.19230769230769232,0.23076923076923078
aegis,llm_debate,22,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.2727272727272727
aegis,magentic_one,23,0.2608695652173913,0.30434782608695654,0.21739130434782608,0.17391304347826086
aegis,smoagents,25,0.16,0.12,0.08,0.2
whowhen,alfagent,21,0.3333333333333333,0.23809523809523808,0.38095238095238093,0.2857142857142857
whowhen,debate,46,0.15217391304347827,0.10869565217391304,0.13043478260869565,0.13043478260869565
whowhen,dylan,11,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.2727272727272727
whowhen,macnet,34,0.08823529411764706,0.08823529411764706,0.11764705882352941,0.08823529411764706
whowhen,magentic-one,49,0.40816326530612246,0.40816326530612246,0.3673469387755102,0.46938775510204084
whowhen,mathchat,59,0.4406779661016949,0.4576271186440678,0.4576271186440678,0.4406779661016949
whowhen,metagpt,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
whowhen,smolagents,274,0.16058394160583941,0.18248175182481752,0.12408759124087591,0.1386861313868613
