dataset,condition,category,support,predicted_count,true_positive,false_positive,false_negative,precision,recall,f1
aegis,label_only,FM-1.1,13,38,7,31,6,0.18421052631578946,0.5384615384615384,0.2745098039215686
aegis,label_only,FM-1.2,7,0,0,0,7,0.0,0.0,0.0
aegis,label_only,FM-1.3,4,3,0,3,4,0.0,0.0,0.0
aegis,label_only,FM-1.4,2,0,0,0,2,0.0,0.0,0.0
aegis,label_only,FM-1.5,9,0,0,0,9,0.0,0.0,0.0
aegis,label_only,FM-2.1,8,26,3,23,5,0.11538461538461539,0.375,0.1764705882352941
aegis,label_only,FM-2.2,6,0,0,0,6,0.0,0.0,0.0
aegis,label_only,FM-2.3,8,6,2,4,6,0.3333333333333333,0.25,0.28571428571428575
aegis,label_only,FM-2.4,3,0,0,0,3,0.0,0.0,0.0
aegis,label_only,FM-2.5,5,0,0,0,5,0.0,0.0,0.0
aegis,label_only,FM-2.6,10,17,4,13,6,0.23529411764705882,0.4,0.29629629629629634
aegis,label_only,FM-3.1,8,5,3,2,5,0.6,0.375,0.4615384615384615
aegis,label_only,FM-3.2,6,0,0,0,6,0.0,0.0,0.0
aegis,label_only,FM-3.3,8,2,0,2,8,0.0,0.0,0.0
aegis,own_taxonomy,FM-1.1,13,36,7,29,6,0.19444444444444445,0.5384615384615384,0.28571428571428575
aegis,own_taxonomy,FM-1.2,7,2,0,2,7,0.0,0.0,0.0
aegis,own_taxonomy,FM-1.3,4,21,3,18,1,0.14285714285714285,0.75,0.24
aegis,own_taxonomy,FM-1.4,2,0,0,0,2,0.0,0.0,0.0
aegis,own_taxonomy,FM-1.5,9,0,0,0,9,0.0,0.0,0.0
aegis,own_taxonomy,FM-2.1,8,10,1,9,7,0.1,0.125,0.11111111111111112
aegis,own_taxonomy,FM-2.2,6,0,0,0,6,0.0,0.0,0.0
aegis,own_taxonomy,FM-2.3,8,8,3,5,5,0.375,0.375,0.375
aegis,own_taxonomy,FM-2.4,3,0,0,0,3,0.0,0.0,0.0
aegis,own_taxonomy,FM-2.5,5,1,0,1,5,0.0,0.0,0.0
aegis,own_taxonomy,FM-2.6,10,11,3,8,7,0.2727272727272727,0.3,0.28571428571428564
aegis,own_taxonomy,FM-3.1,8,4,3,1,5,0.75,0.375,0.5
aegis,own_taxonomy,FM-3.2,6,0,0,0,6,0.0,0.0,0.0
aegis,own_taxonomy,FM-3.3,8,4,0,4,8,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-1.1,13,23,4,19,9,0.17391304347826086,0.3076923076923077,0.2222222222222222
aegis,foreign_taxonomy,FM-1.2,7,2,0,2,7,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-1.3,4,1,0,1,4,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-1.4,2,0,0,0,2,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-1.5,9,0,0,0,9,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-2.1,8,29,4,25,4,0.13793103448275862,0.5,0.2162162162162162
aegis,foreign_taxonomy,FM-2.2,6,0,0,0,6,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-2.3,8,12,2,10,6,0.16666666666666666,0.25,0.2
aegis,foreign_taxonomy,FM-2.4,3,0,0,0,3,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-2.5,5,0,0,0,5,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-2.6,10,18,3,15,7,0.16666666666666666,0.3,0.21428571428571427
aegis,foreign_taxonomy,FM-3.1,8,10,3,7,5,0.3,0.375,0.33333333333333326
aegis,foreign_taxonomy,FM-3.2,6,0,0,0,6,0.0,0.0,0.0
aegis,foreign_taxonomy,FM-3.3,8,2,0,2,8,0.0,0.0,0.0
aegis,merged_taxonomy,FM-1.1,13,30,5,25,8,0.16666666666666666,0.38461538461538464,0.2325581395348837
aegis,merged_taxonomy,FM-1.2,7,0,0,0,7,0.0,0.0,0.0
aegis,merged_taxonomy,FM-1.3,4,1,0,1,4,0.0,0.0,0.0
aegis,merged_taxonomy,FM-1.4,2,0,0,0,2,0.0,0.0,0.0
aegis,merged_taxonomy,FM-1.5,9,1,0,1,9,0.0,0.0,0.0
aegis,merged_taxonomy,FM-2.1,8,28,5,23,3,0.17857142857142858,0.625,0.2777777777777778
aegis,merged_taxonomy,FM-2.2,6,0,0,0,6,0.0,0.0,0.0
